T,O,O+,N,N+,O2,O2+,N2,N2+,NO,NO+,e
50,120,117.8,116.2,116.4,153.2,154.2,139.6,145.7,159.3,146.3,-16.14
100,135.9,132.2,130.6,135.2,173.3,174.4,159.8,165.9,179.4,166.4,-1.728
200,152.2,146.7,145,151.2,193.5,194.6,180,186,199.6,186.6,1.268
400,167.4,161.1,159.4,166,213.9,214.8,200.2,206.2,219.9,206.8,27.09
600,176.1,169.5,167.8,174.5,226.5,227.1,212.2,218.3,232.1,218.8,35.52
800,182.1,175.5,173.8,180.5,236,236.3,221,227.2,241.3,227.6,41.49
1000,186.8,180.1,178.5,185.2,243.6,243.7,228.2,234.5,248.7,234.8,46.13
3000,209.7,202.9,201.3,208.1,284.6,283.4,266.9,274.9,288.2,273.5,68.97
4000,215.8,208.9,207.4,214.1,296.3,294.3,277.6,287.5,299.1,284.2,74.95
5000,220.6,213.7,212.5,219,305.8,302.9,286.1,297.8,307.6,292.7,79.59
6000,224.6,217.6,216.9,223,313.7,310.2,293,306.3,314.6,299.6,83.38
8000,231.1,224.4,224.8,229.5,326.5,322.4,304.2,319.9,331.1,310.9,89.36
10000,236.3,230.2,231.5,234.7,336.1,332.9,313.6,330.4,335.7,320.3,94
12000,241.1,235.5,238,239,343.4,341.7,322.6,338.8,343.9,329.3,97.79
14000,247.1,240.1,247.2,242.7,349.1,348.9,331.6,345.7,350.9,338.3,101.1
15000,251.4,242.2,254,244.3,351.4,351.9,336.1,348.7,353.9,342.6,102.4
20000,286.4,250.9,299,251.4,360.4,363.1,355,359.8,365.8,360.8,108.4
22000,298.7,253.7,310,254.3,363.1,366.3,360.6,363,369.3,365.9,110.4
24000,307.3,256.3,316.8,258,365.5,369.1,365.1,365.8,372.2,370.1,112.2
32000,322.1,270.6,328.1,298.7,373,377.1,376.7,374,380.9,380.9,118.2
40000,328.1,306.9,333.5,338.7,378.4,382.6,383.4,379.6,386.8,387.2,122.8
50000,333.2,340.7,338.4,352,383.6,387.8,389.2,384.9,392.1,392.7,127.5
