T,O,O+,O2,O2+,N,N+,N2,N2+,NO,NO+,e
50,21.96,20.79,29.1,29.1,20.79,29.42,29.1,29.1,29.1,29.1,20.79
100,23.7,20.79,29.11,29.11,20.79,24.73,29.1,29.1,29.1,29.1,20.79
150,23.36,20.79,29.11,29.11,20.79,22.72,29.11,29.1,29.1,29.11,20.79
200,22.74,20.79,29.13,29.11,20.79,21.9,29.11,29.1,29.1,29.11,20.79
298.15,21.91,20.79,29.38,29.2,20.79,21.29,29.12,29.14,29.18,29.13,20.79
300,21.9,20.79,29.39,29.2,20.79,21.28,29.13,29.14,29.19,29.13,20.79
400,21.48,20.79,30.11,29.57,20.79,21.06,29.25,29.32,29.55,29.24,20.79
500,21.26,20.79,31.09,30.25,20.79,20.96,29.58,29.75,30.22,29.57,20.79
600,21.12,20.79,32.09,31.08,20.79,20.91,30.1,30.38,31.04,30.09,20.79
700,21.04,20.79,32.98,31.92,20.79,20.87,30.75,31.1,31.87,30.73,20.79
800,20.98,20.79,33.74,32.69,20.79,20.85,32.43,31.82,32.64,31.4,20.79
900,20.94,20.79,34.36,33.37,20.79,20.84,32.09,32.5,33.31,32.06,20.79
1000,20.91,20.79,34.88,33.95,20.79,20.83,32.7,33.11,33.89,32.67,20.79
2000,20.83,20.79,37.8,36.72,20.79,20.81,35.97,37.52,36.58,36.97,20.79
3000,20.94,20.79,40.02,37.64,20.96,20.96,37.03,42.11,37.41,37.06,20.79
4000,21.3,20.79,41.72,38.27,21.82,21.37,37.56,45.23,37.88,37.6,20.79
5000,21.8,20.91,43.02,39.11,23.46,21.89,37.92,46.53,38.34,37.99,20.79
6000,22.27,21.35,44,40.57,25.52,22.37,38.3,46.93,39.01,38.37,20.79
7000,22.65,22.23,44.45,42.67,27.49,22.75,38.88,47.07,40.05,38.98,20.79
8000,22.93,23.49,44.18,45.03,29.05,23.03,40.01,47.15,41.4,40.12,20.79
9000,23.24,26.43,43.2,47.05,30.25,23.23,42.01,47.14,42.86,42.17,20.79
10000,23.91,27.76,41.74,48.29,31.73,23.38,45.11,46.94,44.16,45.31,20.79
11000,25.74,28.84,40,48.56,35.02,23.5,49.24,46.46,45.1,49.43,20.79
12000,30.03,29.64,38.28,47.95,42.77,23.36,53.02,45.68,45.55,54.06,20.79
13000,38.54,30.16,36.61,46.7,58.21,23.69,58.85,44.62,45.49,58.52,20.79
14000,52.88,30.43,35.08,45.05,83.42,23.78,63.02,43.37,44.98,62.13,20.79
15000,73.45,30.5,33.71,43.18,116.3,23.89,66,41.98,44.11,64.4,20.79
16000,98.18,30.41,32.51,41.29,148.9,24.04,67.49,40.54,42.99,65.16,20.79
17000,122.2,30.21,31.46,39.45,170,24.28,67.49,39.09,41.72,64.5,20.79
18000,139.6,29.94,30.55,37.73,173.2,24.72,66.22,37.69,40.38,62.72,20.79
19000,146.4,29.66,29.76,36.16,160.2,25.57,64,36.36,39.03,60.16,20.79
20000,142.2,29.4,29.07,34.73,138.4,27.14,61.18,35.12,37.71,57.17,20.79
21000,130.2,29.25,28.47,33.45,114.9,29.95,58.05,33.97,36.45,54.01,20.79
22000,114.6,29.29,27.94,32.32,93.68,34.69,54.84,32.91,35.27,50.87,20.79
23000,98.39,29.67,27.47,31.3,76.41,42.28,51.72,31.95,34.16,47.89,20.79
24000,83.66,30.57,27.06,30.4,63.05,53.71,48.78,31.07,33.15,45.13,20.79
25000,71.14,32.25,26.69,29.6,52.98,69.88,46.06,30.27,32.22,42.63,20.79
26000,60.94,35.03,26.35,28.89,45.48,91.31,43.6,29.55,31.36,40.38,20.79
27000,52.82,39.28,26.05,28.25,39.89,117.6,41.38,28.9,30.59,38.37,20.79
28000,46.43,45.42,25.78,27.68,35.72,147.2,39.41,28.31,29.88,36.6,20.79
29000,41.43,53.87,25.53,27.17,32.59,177,37.65,27.77,29.23,35.03,20.79
30000,37.51,64.96,25.31,26.71,30.21,203.2,36.09,27.28,28.64,33.65,20.79
32000,32.01,95.47,24.91,25.93,26.98,230.5,33.48,26.44,27.62,31.36,20.79
34000,28.55,134.4,24.56,25.28,25.02,217.7,31.43,25.74,26.77,29.57,20.79
36000,26.31,172.4,24.27,24.75,23.78,179.9,29.8,25.15,26.05,28.17,20.79
38000,24.83,198.3,24.01,24.31,22.96,137.9,28.5,24.66,25.45,27.05,20.79
40000,23.81,203.3,23.78,23.93,22.41,102.9,27.45,24.24,24.95,26.16,20.79
42000,23.1,189.2,23.57,23.61,22.03,77.43,26.59,23.89,24.51,25.43,20.79
44000,22.59,163.8,23.39,23.34,21.76,59.86,25.88,23.58,24.14,24.83,20.79
46000,22.22,135.7,23.23,23.1,21.56,48.03,25.29,23.32,23.82,24.34,20.79
48000,21.94,109.9,23.08,22.9,21.41,40.08,24.8,23.09,23.54,23.93,20.79
50000,21.73,88.68,22.94,22.72,21.3,34.68,24.38,22.89,23.3,24.58,20.79
